FullDate,WeekDay,Day,Temperature,UVValue,WindDirection,Humidity,DewPoint,Pressure,Cloud,Visibility,CloudCeiling
2025-09-26 01:09:50,Thứ Sáu, 26 tháng 9,26°C,0.6 (Thấp),TTN 9 km/h,94%,25° C,↑ 1009 mb,91%,16 km,5500 m
2025-09-27 01:06:42,Thứ Bảy, 27 tháng 9,25°C,0.3 (Thấp),B 4 km/h,94%,24° C,↑ 1009 mb,91%,16 km,1100 m
2025-09-28 01:16:39,Chủ Nhật, 28 tháng 9,26°C,0.4 (Thấp),TTN 19 km/h,94%,25° C,↔ 1006 mb,91%,16 km,2100 m
2025-09-29 01:11:43,Thứ Hai, 29 tháng 9,28°C,1.2 (Thấp),N 11 km/h,88%,26° C,↑ 1008 mb,0%,16 km,1700 m
2025-09-30 01:10:54,Thứ Ba, 30 tháng 9,27°C,1.2 (Thấp),B 4 km/h,94%,26° C,↑ 1011 mb,45%,16 km,10400 m
2025-10-01 01:17:47,Thứ Tư, 1 tháng 10,29°C,2.4 (Thấp),B 2 km/h,78%,25° C,↔ 1011 mb,0%,10 km,9100 m
2025-10-02 01:08:26,Thứ Năm, 2 tháng 10,26°C,1.1 (Thấp),B 4 km/h,94%,25° C,↔ 1011 mb,1%,5 km,9100 m
2025-10-03 01:08:05,Thứ Sáu, 3 tháng 10,26°C,0.3 (Thấp),B 2 km/h,94%,25° C,↑ 1012 mb,90%,16 km,1700 m
2025-10-04 01:05:45,Thứ Bảy, 4 tháng 10,28°C,1.1 (Thấp),B 4 km/h,88%,26° C,↔ 1011 mb,0%,5 km,1800 m
2025-10-05 01:15:54,Chủ Nhật, 5 tháng 10,28°C,1.1 (Thấp),TTN 13 km/h,88%,26° C,↑ 1012 mb,76%,16 km,10200 m
2025-10-06 01:10:40,Thứ Hai, 6 tháng 10,29°C,1.1 (Thấp),TN 15 km/h,78%,25° C,↔ 1011 mb,0%,16 km,10400 m
2025-10-07 01:09:20,Thứ Ba, 7 tháng 10,27°C,1.1 (Thấp),T 11 km/h,94%,26° C,↑ 1011 mb,35%,16 km,10400 m
2025-10-08 01:09:02,Thứ Tư, 8 tháng 10,28°C,0.4 (Thấp),B 4 km/h,88%,26° C,↑ 1011 mb,85%,16 km,1500 m
2025-10-09 01:09:56,Thứ Năm, 9 tháng 10,27°C,1.1 (Thấp),ĐĐB 9 km/h,88%,25° C,↑ 1010 mb,30%,6 km,9100 m
